trk_id,str_to_translate,context,fr_FR," es_ES"," it_IT"," de_DE",LOCK
343151,"""Suspira's mines will soon run dry. Your precious Kelon will run dry.""",AX_Rare_KelonicGenerator,"""Les mines de Suspira seront bientôt exsangues. Votre précieux Kelon va se tarir.""","«Las minas de Suspira pronto se agotarán. Vuestro precioso kelón dejará de manar».","""Le miniere di Suspira si esauriranno presto. Il vostro prezioso Kelon si esaurirà.""","""Die Minen von Suspira werden bald erschöpft sein. Dann wird euer kostbares Kelon versiegen.""",1
343070,"""The form has been filled out incorrectly. Please make a new appointment tomorrow.""",YZ_Rare_MonolithArchivist,"""Le formulaire a été mal rempli. Veuillez prendre un nouveau rendez-vous demain.""","«Este formulario no está cumplimentado correctamente. Por favor, pide cita para mañana».","""Il modulo è stato compilato in modo errato. Si prega di fissare un nuovo appuntamento domani.""","""Dieses Formular wurde nicht korrekt ausgefüllt. Bitte vereinbaren Sie für morgen einen neuen Termin.""",1
343138,"""The most effective way to do it, is to do it.""",AX_Common_AmeliaEarhart,"""La façon la plus efficace de le faire, c'est de le faire.""","«La forma más eficaz de hacer algo es hacerlo».","""Il modo più efficace di fare qualcosa è.… farlo.""","""Am effektivsten geht man etwas an, indem man es einfach angeht.""",1
343146,"""This material does not seem to be affected by gravity. By harnessing the properties of this Aerolith, we could create flying ships and cities, and fly close to the clouds...""",AX_Common_JianAssemblyOverseer;AX_Rare_JianAssemblyOverseer,"""L'Aérolithe ne semble pas affectée par la gravité. En domestiquant ses propriétés, nous pourrions créer des vaisseaux et des villes volantes, tutoyer les nuages...""","«Este material no parece verse afectado por la gravedad. Si explotamos las propiedades de este aerolito, podríamos crear barcos y ciudades flotantes y volar junto a las nubes...».","""Sembra che la forza di gravità non abbia effetto su questo materiale. Sfruttando le proprietà di questo aerolite, potremmo creare navi e città volanti e volteggiare verso le nuvole...""","""Dieses Material scheint nicht von der Schwerkraft beeinflusst zu werden. Wenn wir uns die Eigenschaften des Aerolit zunutze machen, könnten wir schwebende Schiffe und Städte bauen und bis in die Wolken fliegen …""",1
343096,"""Want to play a game of headman-hunter-fox with me? I promise not to cheat!""",MU_Common_Kitsune,"""Tu sais jouer au renard qui passe ?""","«¿Queréis jugar al zorro? ¡Prometo que no haré trampas!».","""Vuoi giocare a capovillaggio, cacciatore e volpe con me? Ti prometto che non baro!""","""Willst du mit mir eine Partie Dorfvorsteher-Jäger-Fuchs spielen? Ich verspreche, ich werde nicht schummeln!""",1
343099,"""We are the sentinels of the Skein, always keeping a finger on the pulse of nature.""",MU_Common_MunaDruid,"""Nous sommes les sentinelles du Skein, toujours à l'écoute du pouls de la nature.""","«Somos los centinelas del Skein, sentimos constantemente el pulso de la naturaleza».","""Siamo le sentinelle della Skein, teniamo sempre un dito sul polso della natura.""","""Wir sind die Wächter des Skein, immer mit einem Finger am Puls der Natur.""",1
341686,#$[TOUGH_1].#,BR_Rare_Shenlong,#$[TOUGH_1].#,#$[TOUGH_1].#,#$[TOUGH_1].#,#$[TOUGH_1].#,1
341687,"#{1}#, {T} : Draw a card.",AX_Rare_KelonicGenerator,"#{1}#, {T} : Piochez une carte.","#{1}#, {T}: Roba 1 carta.","#{1}#, {T} : Pesca una carta.","#{1}#, {T} : Ziehe eine Karte.",1
339760,"#{D} : Activate the {j} triggers of target Permanent you control.# (Discard me from Reserve to do this.)",AX_Rare_JianAssemblyOverseer,"#{D} : Activez les déclencheurs {j} du Permanent ciblé que vous contrôlez.# (Défaussez-moi de la Réserve pour ça.)","#{D}: Activa los efectos disparados {j} de un permanente objetivo que controles.# (Descártame de tu reserva para jugar esta acción).","#{D} : Attiva gli inneschi {j} di un permanente bersaglio che controlli.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Aktiviere die {j} Auslöser einer bleibenden Karte deiner Wahl, die du kontrollierst.# (Lege mich aus deiner Reserve ab, um diese Aktion auszuführen.)",1
340302,"#{D} : Draw a card.# (Discard me from Reserve to do this.)",YZ_Rare_Sakarabru,"#{D} : Piochez une carte.# (Défaussez-moi de la Réserve pour ça.)","#{D}: Roba 1 carta.# (Descártame de tu reserva para jugar esta acción).","#{D} : Pesca una carta.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Ziehe eine Karte.# (Lege mich aus deiner Reserve ab, um diese Aktion auszuführen.)",1
327547,"#{D} : The next Character you play this turn costs {1} less.# (Discard me from your Reserve to activate this effect)",OD_Rare_Ozma,,,,,0
340308,"#{D} : The next Character you play this turn gains 1 boost.# (Discard me from Reserve to do this.)",MU_Rare_MeditationTraining;BR_Rare_HavenWarrior,"#{D} : Le prochain Personnage que vous jouez ce tour gagne 1 boost.# (Défaussez-moi de la Réserve pour ça.)","#{D}: El siguiente personaje que juegues este turno gana 1 potenciador.# (Descártame de tu reserva para jugar esta acción).","#{D} : Il prossimo personaggio che giochi in questo turno ottiene 1 rinforzo.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Der nächste Charakter, den du in dieser Runde spielst, erhält 1 Verstärkung.# (Lege mich aus deiner Reserve ab, um diese Aktion auszuführen.)",1
340312,"#{D} : The next Permanent you play this turn costs {1} less.# (Discard me from Reserve to do this.)",AX_Rare_FrogPrince,"#{D} : Le prochain Permanent que vous jouez ce tour coûte {1} de moins.# (Défaussez-moi de la Réserve pour ça.)","#{D}: El siguiente permanente que juegues este turno cuesta {1} menos.# (Descártame de tu reserva para jugar esta acción).","#{D} : Il prossimo permanente che giochi in questo turno costa {1} in meno.# (Scartami dalla Riserva per giocare questa azione.)","#{D} : Die nächste bleibende Karte, die du in dieser Runde spielst, kostet {1} weniger.# (Lege mich aus deiner Reserve ab, um diese Aktion auszuführen.)",1
327599,"#{D} : The next Permanent you play this turn costs {1} less.# (Discard me from your Reserve to activate this effect)",AX_Rare_ThreeLittlePigs,,,,,0
341260,"#{H} If you control a token, $[RESUPPLY].#",OD_Rare_MonolithRuneScribe,"#{H} Si vous contrôlez un jeton, $[RESUPPLY].#","#{H} Si controlas una ficha, $[RESUPPLY].#","#{H} Se controlli una pedina, $[RESUPPLY].#","#{H} Wenn du eine Marke kontrollierst – $[RESUPPLY].#",1
341674,"#{J} [RESUPPLY].#  If you would #$[RESUPPLY], instead, reveal the top two cards of your deck. Put one in Reserve, and discard the other.#",AX_Rare_TheOuroborosLyraBastion,"#{J} [RESUPPLY].#  Si vous deviez #$[RESUPPLY], à la place, révélez les deux premières cartes de votre deck. Mettez-en une en Réserve, et défaussez l'autre.#","#{J} [RESUPPLY].#  Si fueses a #$[RESUPPLY], en vez de eso, revela las 2 primeras cartas de tu mazo. Coloca 1 en tu reserva y descarta la otra.#","#{J} [RESUPPLY].#  Se stai per usare #$[RESUPPLY], rivela invece le prime due carte del tuo mazzo. Mettine una nella Riserva e scarta l'altra.#","#{J} [RESUPPLY].#  Wenn du #$[RESUPPLY] spielen würdest, decke stattdessen die obersten zwei Karten deines Decks auf. Lege eine in deine Reserve und die andere ab.#",1
327564,"#{J}# $[RESUPPLY].",LY_Rare_Esmeralda,"#{J}# $[RESUPPLY].","#{J}# $[RESUPPLY].","#{J}# $[RESUPPLY].","#{J}# $[RESUPPLY].",1
343108,"#{J}# Target Character gains [ANCHORED]. (During Rest, it doesn't go to Reserve and it loses Anchored.)",MU_Rare_Parvati,"#{J}# Le Personnage ciblé gagne [ANCHORED]. (Au Repos, il ne va pas en Réserve et il perd Ancré.)","#{J}# Un personaje objetivo gana [ANCHORED]. (Durante el descanso, no va a tu reserva y pierde anclaje).","#{J}# Il personaggio bersaglio ottiene [ANCHORED]. (Durante il riposo, non va nella Riserva e perde Ancorato.)","#{J}# Ein Charakter deiner Wahl erhält [ANCHORED]. (Während der Ruhepause geht er nicht in Reserve und verliert Verankert.)",1
339731,"#{J}# You may send target Character to Reserve.",YZ_Rare_DorothyGale,"#{J}# Vous pouvez envoyer le Personnage ciblé en Réserve.","#{J}# Puedes enviar a tu reserva un personaje objetivo.","#{J}# Puoi mandare un personaggio nella Riserva.","#{J}# Du darfst einen Charakter deiner Wahl in die Reserve schicken.",1
342636,$[DEFENDER].,YZ_Rare_MonolithArchivist,$[DEFENDER].,$[DEFENDER].,$[DEFENDER].,$[DEFENDER].,1
336477,"$[FLEETING].  $[SABOTAGE], then $[RESUPPLY].",YZ_Common_SpyCraft,"$[FLEETING].  $[SABOTAGE], puis $[RESUPPLY].","$[FLEETING]. $[SABOTAGE] y luego $[RESUPPLY].","$[FLEETING].  $[SABOTAGE], poi $[RESUPPLY].","$[FLEETING].  $[SABOTAGE], dann $[RESUPPLY].",1
336482,"$[FLEETING].  Characters you control gain 1 boost$[BB]. (Cards in Reserve are not controlled.)",OD_Common_Charge,"$[FLEETING].  Les Personnages que vous contrôlez gagnent 1 boost$[BB]. (Les cartes en Réserve ne sont pas contrôlées.)","$[FLEETING].  Los personajes que controles ganan 1 potenciador$[BB]. (Las cartas de tu reserva no las controla nadie).","$[FLEETING].  I personaggi che controlli ottengono 1 rinforzo$[BB]. (Le carte nella Riserva non sono controllate.)","$[FLEETING].  Charaktere, die du kontrollierst, erhalten 1 Verstärkung$[BB]. (Karten in der Reserve werden nicht kontrolliert.)",1
336523,"$[FLEETING].  Choose one:  • Discard target [FLEETING_CHAR], [ANCHORED] or [ASLEEP] Character.  • Discard target Permanent.",LY_Common_ClothCocoon,"$[FLEETING].  Choisissez l'un:  • Défaussez le Personnage [FLEETING_CHAR], [ANCHORED] or [ASLEEP] ciblé.  • Défaussez le Permanent ciblé.","$[FLEETING].  Elige una opción:  • Descarta un personaje objetivo con [FLEETING_CHAR], [ANCHORED] o [ASLEEP].  • Descarta un permanente objetivo.","$[FLEETING].  Scegli uno:  • Scarta un personaggio bersaglio con [FLEETING_CHAR], [ANCHORED] o [ASLEEP].  • Scarta un permanente bersaglio.","$[FLEETING].  Wähle eine Aktion:  • Lege einen Charakter deiner Wahl mit [FLEETING_CHAR], [ANCHORED] oder [ASLEEP] ab.  • Lege eine bleibende Karte deiner Wahl ab.",1
339754,"$[FLEETING].  Choose one:  • Send to Reserve target Character with Hand Cost {4} or less.  • Discard target Permanent with Hand Cost {4} or less.",AX_Common_KelonBurst,"$[FLEETING].  Choisissez l'un :  • Envoyez en Réserve le Personnage ciblé avec un Coût de Main {4} ou moins.  • Défaussez le Permanent ciblé avec un Coût de Main {4} ou moins.","$[FLEETING].  Elige una opción:  • Envía a tu reserva un personaje objetivo con coste desde la mano de {4} o menos.  • Descarta un permanente objetivo con coste desde la mano de {4} o menos.","$[FLEETING].  Scegli uno:  • Manda un personaggio bersaglio con costo dalla mano pari o inferiore a {4} nella Riserva.  • Scarta un permanente bersaglio con costo dalla mano pari o inferiore a {4}.","$[FLEETING].  Wähle eine Aktion:  • Schicke einen Charakter deiner Wahl mit Handkosten {4} oder weniger in deine Reserve.  • Lege eine bleibende Karte deiner Wahl mit Handkosten {4} oder weniger ab.",1
339737,"$[FLEETING].  Choose one:  • Send to Reserve target Character with Hand Cost {4} or more.  • Discard target Permanent with Hand Cost {4} or more.",OD_Common_StickyNoteSeals,"$[FLEETING].  Choisissez l'un :  • Envoyez en Réserve le Personnage ciblé avec un Coût de Main {4} ou plus.  • Défaussez le Permanent ciblé avec un Coût de Main {4} ou plus.","$[FLEETING].  Elige una opción:  • Envía a tu reserva un personaje objetivo con coste desde la mano de {4} o más.  • Descarta un permanente objetivo con coste desde la mano de {4} o más.","$[FLEETING].  Scegli uno:  • Manda un personaggio bersaglio con costo dalla mano pari o superiore a {4} nella Riserva.  • Scarta un permanente bersaglio con costo dalla mano pari o superiore a {4}.","$[FLEETING].  Wähle eine Aktion:  • Schicke einen Charakter deiner Wahl mit Handkosten {4} oder mehr in die Reserve.  • Lege eine bleibende Karte deiner Wahl mit Handkosten {4} oder mehr ab.",1
342632,"$[FLEETING].  Discard target Character or Permanent.",YZ_Common_BanishingGate,"$[FLEETING].  Défaussez le Personnage ou le Permanent ciblé.","$[FLEETING]. Descarta un personaje o permanente objetivo.","$[FLEETING].  Scarta un personaggio o un permanente bersaglio.","$[FLEETING].  Lege einen Charakter deiner Wahl oder eine bleibende Karte ab.",1
336573,"$[FLEETING].  Return target Character or Permanent with Hand Cost {4} or less to its owner's hand.",BR_Common_Intimidation,"$[FLEETING].  Renvoyez le Personnage ou Permanent ciblé avec un Coût de Main {4} ou moins dans la main de son propriétaire.","$[FLEETING].  Devuelve a la mano de su propietario un personaje o permanente objetivo con coste desde la mano de {4} o menos.","$[FLEETING].  Fai tornare il personaggio o il permanente bersaglio con costo dalla mano pari o inferiore a {4} in mano al suo proprietario.","$[FLEETING].  Schicke einen Charakter oder eine bleibende Karte deiner Wahl mit Handkosten {4} oder weniger in die Hand ihres Besitzers zurück.",1
336539,"$[FLEETING].  Reveal the top four cards of your Deck. Choose up to two Characters from these cards and put them in your Expeditions. They gain [FLEETING]. Discard the other cards. (Don't activate any {h} triggers.)",LY_Common_MindApotheosis,"$[FLEETING].  Révélez les quatre premières cartes de votre Deck. Choisissez jusqu'à deux Personnages parmi ces cartes et mettez les dans vos Expéditions. Ils gagnent [FLEETING]. Défaussez les autres cartes. (N'activez pas de déclencheurs {h}.)","$[FLEETING].  Revela las 4 primeras cartas de tu mazo. Elige hasta 2 personajes entre estas cartas y colócalos en tus expediciones. Ganan [FLEETING]. Descarta las otras cartas. (No actives ningún efecto disparado {h}).","$[FLEETING].  Rivela le prime quattro carte del tuo mazzo. Scegli fino a due personaggi tra queste carte e mettili nell'area delle spedizioni. Ottengono [FLEETING]. Scarta le altre carte. (Non attivi alcun innesco {h}.)","$[FLEETING].  Decke die obersten vier Karten deines Decks auf. Wähle bis zu zwei Charaktere aus diesen Karten und lege sie in deine Expeditionen. Sie erhalten [FLEETING]. Lege die anderen Karten ab. (Aktiviere keine {h} Auslöser.)",1
336471,"$[FLEETING].  Send to Reserve up to three target Characters with a total Hand Cost {5} or less.",YZ_Common_KrakensWrath,"$[FLEETING].  Envoyez en Réserve jusqu'à trois Personnages ciblés avec un Coût de Main total de {5} ou moins.","$[FLEETING].  Envía a tu reserva hasta 3 personajes objetivo con coste desde la mano de {5} o menos.","$[FLEETING].  Manda nella Riserva fino a tre personaggi bersaglio con un costo dalla mano totale pari o inferiore a {5}.","$[FLEETING].  Schicke bis zu drei Charaktere deiner Wahl mit Gesamt-Handkosten von {5} oder weniger in die Reserve.",1
343029,"$[FLEETING].  You may discard a card from your Reserve to reduce my cost by #{1}#.  Return target Character or Permanent to the top of its owner's deck.",LY_Rare_PaintPrison,"$[FLEETING].  Vous pouvez défausser une carte de votre réserve pour réduire mon coût de #{1}#.  Renvoyez le Personnage ou le Permanent ciblé sur le dessus du deck de son propriétaire.","$[FLEETING].  Puedes descartar una carta de tu reserva para reducir mi coste en #{1}#.  Devuelve un personaje o permanente objetivo a la parte superior del mazo de su propietario.","$[FLEETING].  Puoi scartare una carta dalla tua Riserva per ridurre il mio costo di #{1}#.  Fai tornare il personaggio o il permanente bersaglio in cima al mazzo del suo proprietario.","$[FLEETING].  Du darfst eine Karte aus deiner Reserve ablegen, um meine Kosten um #{1}# zu reduzieren.  Lege einen Charakter oder eine bleibende Karte deiner Wahl oben auf das Deck ihres Besitzers zurück.",1
336549,"$[FLEETING].  You may discard a card from your Reserve to reduce my cost by {2}.  Return target Character or Permanent to the top of its owner's deck.",LY_Common_PaintPrison,"$[FLEETING].  Vous pouvez défausser une carte de votre réserve pour réduire mon coût de {2}.  Renvoyez le Personnage ou le Permanent ciblé sur le dessus du deck de son propriétaire.","$[FLEETING].  Puedes descartar una carta de tu reserva para reducir mi coste en {2}.  Devuelve un personaje o permanente objetivo a la parte superior del mazo de su propietario.","$[FLEETING].  Puoi scartare una carta dalla tua Riserva per ridurre il mio costo di {2}.  Fai tornare il personaggio o il permanente bersaglio in cima al mazzo del suo proprietario.","$[FLEETING].  Du darfst eine Karte aus deiner Reserve ablegen, um meine Kosten um {2} zu reduzieren.  Lege einen Charakter oder eine bleibende Karte deiner Wahl oben auf das Deck ihres Besitzers zurück.",1
327569,$[GIGANTIC].,BR_Common_Atlas,$[GIGANTIC].,$[GIGANTIC].,$[GIGANTIC].,$[GIGANTIC].,1
336576,"$[GIGANTIC].  $[TOUGH_X], where X is the numbers of regions between your Hero and Companion. (If they are adjacent, X equals 0.)",BR_Common_KaibaraAsgarthanLeviathan,"$[GIGANTIC].  $[TOUGH_X], où X est le nombre de régions entre votre Héros et votre Compagnon. (S'ils sont adjacents, X est égal à 0.)","$[GIGANTIC]. $[TOUGH_X], donde X equivale al número de regiones que hay entre tu héroe y tu compañero.  (Si están adyacentes, X equivale a 0).","$[GIGANTIC].  $[TOUGH_X], dove X è il numero di regioni tra il tuo eroe e il tuo compagno. (Se sono adiacenti, X equivale a 0.)","$[GIGANTIC].  $[TOUGH_X], wobei X die Anzahl der Regionen zwischen deinem Helden und deinem Gefährten ist. (Wenn die beiden Expeditionen nebeneinander liegen, ist X gleich 0).",1
317543,"${actplayer} can't take the mandatory action and must restart his turn or exchange/cook","Status bar (game state)",,,,,0
323673,"${actplayer} may discard ${n} card(s) from ${source} to ${destination}","Status bar (game state)",,,,,0
317533,"${actplayer} may invoke ${tokenType}","Status bar (game state)",,,,,0
331149,"${actplayer} may play ${card_name}","Status bar (game state)",,,,,0
331151,"${actplayer} may play ${card_name} for free","Status bar (game state)",,,,,0
317527,"${actplayer} must choose an action or pass","Status bar (game state)",,,,,0
317541,"${actplayer} must choose exactly one effect","Status bar (game state)",,,,,0
317539,"${actplayer} must choose which effect to resolve","Status bar (game state)",,,,,0
317535,"${actplayer} must confirm or restart their turn","Status bar (game state)",,,,,0
317537,"${actplayer} must confirm the switch of player","Status bar (game state)",,,,,0
317529,"${actplayer} must discard ${n} card(s) from ${source} to ${destination}","Status bar (game state)",,,,,0
327509,"${actplayer} must discard ${n} reserve card(s) and ${nLandmarks} landmark card(s)","Status bar (game state)",,,,,0
317674,"${bonus_0} and ${bonus_1}",Notifications,,,,,0
317675,"${bonus_0}, ${bonus_1} and ${bonus_2}",Notifications,,,,,0
336464,"${card_name} gains ${increase} ${counterName}",Notifications,,,,,0
317576,"${card_name} gains ${n} ${power}",Notifications,,,,,0
317574,"${card_name} gains ${n} ${power} (${card_name2}'s effect)",Notifications,,,,,0
317575,"${card_name} gains ${power}",Notifications,,,,,0
317573,"${card_name} gains ${power} (${card_name2}'s effect)",Notifications,,,,,0
317578,"${card_name} looses ${n} ${power}",Notifications,,,,,0
343033,"${n} dice are added to the roll (Ouroboros Lyra Bastion's effect)",RollDie,,,,,0
327601,"${player_name} activates ${card_name} {J} effect",ActivateEffect,,,,,0
323685,"${player_name} activates support effect of ${card_name} and discards it",Notifications,,,,,0
317558,"${player_name} advances in ${expedition} expedition by winning in ${biome}",Notifications,,,,,0
317557,"${player_name} becomes First player",Notifications,,,,,0
317548,"${player_name} choses ${n} card(s) as mana",NewDayTrait;Discard,,,,,0
317562,"${player_name} discards ${card_names}",Notifications,,,,,0
324019,"${player_name} discards ${card_names} (${n} card(s))",Notifications;Discard,,,,,0
317560,"${player_name} discards ${card_names} and moves ${card_names2} to reserve",Notifications,,,,,0
341268,"${player_name} discards ${card_names} as they are not targeted",Target,,,,,0
317563,"${player_name} discards ${n} card(s)",Notifications;Discard,,,,,0
324022,"${player_name} discards ${n} card(s) from the ${source}",Discard,,,,,0
320921,"${player_name} draws ${card_names} from his deck",Notifications,,,,,0
320920,"${player_name} draws ${card_names} from its deck (${card_name2}'s effect)",Player,,,,,0
341678,"${player_name} draws ${card_names} from its deck and must keep 1 (${card_name2}'s effect combined with  The Ouroboros, Lyra Bastion)",Resupply,,,,,0
336650,"${player_name} draws ${n} card(s) and put them as mana",DrawMana,,,,,0
317567,"${player_name} draws ${n} card(s) from its deck",Notifications,,,,,0
320123,"${player_name} draws ${n} card(s) from its deck (${card_name2}'s effect)",Player,,,,,0
317591,"${player_name} draws ${n} scoring cards from the deck",Notifications,,,,,0
323686,"${player_name} exhauts its deck and shuffle the discard",Notifications,,,,,0
323680,"${player_name} expedition cannot move",Player,,,,,0
323687,"${player_name} invokes ${card_name} in ${displayLocation} (${card_name2}'s effect)",Notifications,,,,,0
317561,"${player_name} moves ${card_names2} to reserve",Notifications,,,,,0
331153,"${player_name} moves ${card_name} to opposite expedition (${card_name2}'s effect)",Notifications,,,,,0
323681,"${player_name} moves in ${expedition} due to ${card_name}'s effect",Notifications,,,,,0
317581,"${player_name} passes and end its day",Notifications,,,,,0
317569,"${player_name} pays ${amount} mana",Notifications,,,,,0
317570,"${player_name} pays ${amount} mana for ${source}",Notifications,,,,,0
331156,"${player_name} pays {${cost}}",Notifications,,,,,0
331155,"${player_name} pays {${cost}} and taps ${card_name} to activate it's effect",Notifications,,,,,0
327521,"${player_name} pays {${n}} and reduce by ${consume} the counter (${card_name}'s effect)",Notifications,,,,,0
320922,"${player_name} places ${card_names} from its deck to Reserve (${card_name2}'s effect)",Resupply,,,,,0
317556,"${player_name} places ${n} card(s) as mana",Notifications,,,,,0
317566,"${player_name} places ${n} card(s) in his hand",Notifications,,,,,0
336463,"${player_name} plays ${card_name} for ${cost}",Notifications,,,,,0
323683,"${player_name} plays ${card_name} for ${cost} and places it in ${displayLocation}",Notifications,,,,,0
336462,"${player_name} plays ${card_name} from Reserve for ${cost}",Notifications,,,,,0
323682,"${player_name} plays ${card_name} from Reserve for ${cost} and places it in ${displayLocation}",Notifications,,,,,0
343021,"${player_name} puts ${card_names} on top of its deck",Notifications,,,,,0
317754,"${player_name} puts ${n} card(s) to players' hand",Discard,,,,,0
331154,"${player_name} reduce by ${consume} the counter (${card_name}'s effect)",Notifications,,,,,0
317551,"${player_name} restarts their turn",Notifications,,,,,0
320417,"${player_name} rolls ${roll_text} (${card_name2}'s effect)",Notifications,,,,,0
317580,"${player_name} taps ${card_name} to activate it's effect",Notifications,,,,,0
317577,"${player_name} targets ${card_names} for ${card_name}'s effect",Notifications,,,,,0
328052,"${player_name} targets ${card_names} for ${card_name}'s effect and pays {${n}} (Tough effect)",Notifications,,,,,0
320902,"${player_name} triggers After You effect (${card_name}'s effect)",Notifications,,,,,0
320901,"${player_name} triggers After You effect and pays ${cost} (${card_name}'s effect)",Notifications,,,,,0
320897,"${player_name} will play the faction ${faction_name} with the hero ${card_name}",Notifications,,,,,0
336652,"${player_name} wins the game with ${card_name}'s effect",SpecialEffect,,,,,0
323684,"${player_name} wins the tiebreaker with ${n} attributes",Notifications,,,,,0
343019,"${source}: ${actplayer} must choose 1 die result","Status bar (game state)",,,,,0
343020,"${source}: ${you} must choose 1 die result","Status bar (game state)",,,,,0
317544,"${you} can't take the mandatory action. Restart your turn or exchange/cook to make it possible","Status bar (game state)",,,,,0
323674,"${you} may discard ${n} card(s) from ${source} to ${destination}","Status bar (game state)",,,,,0
317534,"${you} may invoke ${tokenType}","Status bar (game state)",,,,,0
331150,"${you} may play ${card_name}","Status bar (game state)",,,,,0
331152,"${you} may play ${card_name} for free","Status bar (game state)",,,,,0
317528,"${you} must choose an action or pass","Status bar (game state)",,,,,0
317542,"${you} must choose exactly one effect","Status bar (game state)",,,,,0
317540,"${you} must choose which effect to resolve","Status bar (game state)",,,,,0
317536,"${you} must confirm or restart your turn","Status bar (game state)",,,,,0
317538,"${you} must confirm the switch of player. You will not be able to restart turn","Status bar (game state)",,,,,0
317530,"${you} must discard ${n} card(s) from ${source} to ${destination}","Status bar (game state)",,,,,0
