Keyword Name,Mechanic Tag,EN Output,EN Reminder Text,Comments,FR Output,FR Reminder Text,,DE Output,DE Reminder Text,,ES Output,ES Reminder Text,,IT Output,IT Reminder Text
Fleeting (Spells),[FLEETING],Fleeting,Send me to Discard instead of Reserve after my effect resolves.,It is intentional that both Fleeting keywords have the same output. ,Fugace,Envoyez-moi à la Défausse plutôt qu'en Réserve une fois mon effet résolu.,,Vergänglich,"Lege mich auf die Ablage statt in die Reserve, nachdem mein Effekt abgeklungen ist.",,Fugacidad,"Una vez resuelto mi efecto, envíame a la pila de descartes en lugar de a la reserva.",,Fugace,Mandami negli Scarti invece che nella Riserva dopo che il mio effetto si risolve.
Fleeting (Characters),[FLEETING_CHAR],Fleeting,"If I would be sent to Reserve, discard me instead.",,Fugace,"Si je devrais être envoyé en Réserve, défaussez-moi à la place.",,Vergänglich,"Falls ich in die Reserve geschickt werden soll, lege mich stattdessen ab.",,Fugacidad,"Si fuese a ir a la reserva, en vez de eso, descártame.",,Fugace,"Se sto per finire nella Riserva, scartami invece."
Gigantic,[GIGANTIC],Gigantic,I am considered present in each of your Expeditions.,,Gigantesque,Je suis considéré présent dans chacune de vos Expéditions.,,Gigantisch,Ich werde in jeder deiner Expeditionen als anwesend betrachtet.,,Gigante,Estoy presente en todas tus expediciones.,,Colossale,Considerami presente in ciascuna delle tue spedizioni.
Maw token,[MAW],Maw 0/0/0,,,0/0/0 Maw,,,Schlund 0/0/0,,,Fauces 0/0/0,,,Fauce 0/0/0,
Ordis Recruit token,[ORDIS_RECRUIT],Ordis Recruit 1/1/1,,,1/1/1 Recrue Ordis,,,Ordis-Rekrut 1/1/1,,,Recluta de Ordis 1/1/1,,,Recluta Ordis 1/1/1,
Resupply,[RESUPPLY],Resupply,Put the top card of your deck in Reserve.,,Ravitaillez,Mettez la première carte de votre deck en Réserve.,,Nachschub,Lege die oberste Karte deines Decks in die Reserve.,,Reabastecer,Pon la primera carta de tu mazo en la reserva.,,Rifornisci,Metti la prima carta del tuo mazzo nella Riserva.
Resupply - infinitive,[RESUPPLY_INF],Resupply,Put the top card of your deck in Reserve.,,Ravitailler,Mettez la première carte de votre deck en Réserve.,,Nachschub,Lege die oberste Karte deines Decks in die Reserve.,,Reabastecer,Pon la primera carta de tu mazo en la reserva.,,Rifornire,Metti la prima carta del tuo mazzo nella Riserva.
Resupply - third person,[RESUPPLY_T],Resupply,Put the top card of your deck in Reserve.,,Ravitaille,Mettez la première carte de votre deck en Réserve.,,Nachschub,Lege die oberste Karte deines Decks in die Reserve.,,Reabastecer,Pon la primera carta de tu mazo en la reserva.,,Rifornisce,Metti la prima carta del tuo mazzo nella Riserva.
Sabotage,[SABOTAGE],Sabotage,Discard up to one target card from a Reserve.,,Sabotez,Défaussez jusqu'à une carte d'une Réserve.,,Sabotage,Lege bis zu eine Karte deiner Wahl aus einer Reserve ab.,,Sabotear,Descarta hasta una carta objetivo de una reserva.,,Sabota,Scarta fino a una carta bersaglio da una Riserva.
Seasoned,[SEASONED],Seasoned,I keep my boosts when I go to Reserve.,,Aguerri,Je conserve mes boosts lorsque je vais en Réserve.,,Erfahren,"Ich behalte meine Verstärkungen, wenn ich in die Reserve gehe.",,Avezado,Mantengo mis potenciadores cuando voy a la reserva.,,Temprato,Mantengo i miei rinforzi quando vado nella Riserva.
Seasoned - Me - Feminin singular,[SEASONED_ME_FS],Seasoned,I keep my boosts when I go to Reserve.,,Aguerrie,Je conserve mes boosts lorsque je vais en Réserve.,,Erfahren,"Ich behalte meine Verstärkungen, wenn ich in die Reserve gehe.",,Avezado,Mantengo mis potenciadores cuando voy a la reserva.,,Temprato,Mantengo i miei rinforzi quando vado nella Riserva.
Tough 1,[TOUGH_1],Tough 1,Your opponent's Spells and abilities that target me cost {1} more.,,Coriace 1,Les Sorts et capacités d'un adversaire qui me ciblent coûtent {1} de plus.,,Schwer 1,"Die Zauber und Fähigkeiten deines Gegners, die mich zum Ziel haben, kosten {1} mehr.",,Resistencia 1,"Si los hechizos o las habilidades de un oponente me hacen objetivo, cuestan {1} más.",,Tenace 1,Le magie e le abilità di un avversario che mi scelgono come bersaglio costano {1} in più.
Tough 2,[TOUGH_2],Tough 2,Your opponent's Spells and abilities that target me cost {2} more.,,Coriace 2,Les Sorts et capacités d'un adversaire qui me ciblent coûtent {2} de plus.,,Schwer 2,"Die Zauber und Fähigkeiten deines Gegners, die mich zum Ziel haben, kosten {2} mehr.",,Resistencia 2,"Si los hechizos o las habilidades de un oponente me hacen objetivo, cuestan {2} más.",,Tenace 2,Le magie e le abilità di un avversario che mi scelgono come bersaglio costano {2} in più.
Tough X,[TOUGH_X],Tough X,Your opponent's Spells and abilities that target me cost {X} more.,,Coriace X,Les Sorts et capacités d'un adversaire qui me ciblent coûtent {X} de plus.,,Schwer X,"Die Zauber und Fähigkeiten deines Gegners, die mich zum Ziel haben, kosten {X} mehr.",,Resistencia X,"Si los hechizos o las habilidades de un oponente me hacen objetivo, cuestan {X} más.",,Tenace X,Le magie e le abilità di un avversario che mi scelgono come bersaglio costano {X} in più.
